                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99256,                 3.0006,                  1.209,                0.01768,                      1,                 0.4481,                0.38011,                0.55903,                 2.8269,                0.85335,             0.00013336,             0.00013336,             0.00013336
                      2,                0.81928,                 2.3564,                 1.0889,                0.01688,                0.95238,                 0.4621,                0.39391,                0.67629,                 2.4967,                0.86746,             0.00028283,             0.00028283,             0.00028283
                      3,                0.80507,                 1.5725,                 1.0711,                 0.5604,                0.57195,                0.57697,                 0.3862,                0.93378,                 2.2181,                 1.0253,              0.0004317,              0.0004317,              0.0004317
                      4,                0.83218,                 1.3338,                 1.0732,                0.51164,                 0.6589,                0.57726,                0.43136,                0.87096,                 2.0607,                 1.0071,             0.00057998,             0.00057998,             0.00057998
                      5,                0.75791,                  1.072,                  1.006,                0.44391,                 0.7381,                0.73142,                0.55281,                0.82783,                 2.0451,                0.91775,             0.00072767,             0.00072767,             0.00072767
                      6,                0.79906,                 1.0819,                 1.0453,                0.66303,                0.67917,                0.82191,                0.64241,                0.78638,                 2.5474,                0.92065,             0.00087476,             0.00087476,             0.00087476
                      7,                0.76424,                 1.0189,                 1.0443,                 0.7938,                0.76852,                0.82598,                0.65698,                0.78397,                 1.4308,                0.92542,              0.0010213,              0.0010213,              0.0010213
                      8,                0.77988,                0.93945,                 1.0663,                 0.8808,                0.77765,                0.83148,                0.64789,                0.76155,                 1.2679,                0.93629,              0.0011672,              0.0011672,              0.0011672
                      9,                0.76264,                0.93319,                 1.0348,                0.78867,                 0.7324,                0.82567,                0.64175,                0.76928,                 1.3471,                0.93976,              0.0013125,              0.0013125,              0.0013125
                     10,                0.82121,                0.98647,                 1.0777,                0.76348,                0.75701,                0.87832,                0.67989,                0.81593,                 1.3619,                0.94461,              0.0014572,              0.0014572,              0.0014572
