                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9614,                 4.3192,                 4.4185,                0.00055,                  0.125,                0.00036,                  4e-05,                 3.8192,                 4.0952,                  4.159,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 4.0868,                 4.2723,                 4.3347,                0.00055,                  0.125,                0.00036,                  4e-05,                  3.819,                  4.095,                 4.1592,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 3.9001,                 4.1498,                 4.3531,                0.00055,                  0.125,                0.00036,                  4e-05,                 3.8188,                 4.0961,                 4.1593,             0.00010695,             0.00010695,             0.00010695
                      4,                 3.8214,                  4.085,                  4.291,                0.00054,                  0.125,                0.00037,                  4e-05,                 3.8188,                 4.0975,                 4.1595,             0.00012891,             0.00012891,             0.00012891
                      5,                 3.9211,                 4.0389,                 4.2608,                0.00055,                  0.125,                0.00036,                  4e-05,                  3.819,                  4.099,                 4.1598,             0.00014096,             0.00014096,             0.00014096
                      6,                 3.7914,                   3.93,                 4.2326,                0.00055,                  0.125,                0.00036,                  4e-05,                 3.8192,                 4.1002,                 4.1601,             0.00014311,             0.00014311,             0.00014311
                      7,                 3.8128,                 3.9705,                 4.1915,                0.00055,                  0.125,                0.00036,                  4e-05,                   3.82,                 4.1033,                 4.1611,             0.00013536,             0.00013536,             0.00013536
                      8,                 3.8012,                  3.849,                 4.2017,                0.00056,                  0.125,                0.00036,                  4e-05,                 3.8205,                 4.1052,                 4.1616,             0.00011771,             0.00011771,             0.00011771
                      9,                  3.828,                 3.8655,                 4.1636,                0.00054,                  0.125,                0.00039,                  4e-05,                 3.8218,                 4.1094,                 4.1631,             9.0151e-05,             9.0151e-05,             9.0151e-05
                     10,                 3.8541,                  3.894,                 4.1746,                0.00055,                  0.125,                0.00038,                  4e-05,                 3.8249,                 4.1074,                 4.1638,             5.2694e-05,             5.2694e-05,             5.2694e-05
